,order_date,order_hotel_id,order_customer_id
0,2021-05-20,12,INN02670
1,2020-08-20,3,INN02671
2,2020-08-27,11,INN02672
3,2019-06-14,3,INN02673
4,2021-01-14,7,INN02674
5,2021-03-11,8,INN02675
6,2019-05-24,10,INN02676
7,2020-10-09,3,INN02677
8,2020-01-07,1,INN02678
9,2019-10-07,5,INN02679
10,2020-05-29,6,INN02680
11,2020-09-07,9,INN02681
12,2019-10-20,6,INN02682
13,2020-05-16,2,INN02683
14,2019-12-17,1,INN02684
15,2021-11-03,3,INN02685
16,2021-09-28,10,INN02686
17,2020-06-05,7,INN02687
18,2021-09-12,4,INN02688
19,2019-08-03,5,INN02689
20,2019-04-20,7,INN02690
21,2021-07-29,9,INN02691
22,2021-02-22,7,INN02692
23,2019-04-30,2,INN02693
24,2020-03-29,10,INN02694
25,2019-06-04,10,INN02695
26,2020-10-17,3,INN02696
27,2019-08-20,2,INN02697
28,2021-04-01,2,INN02698
29,2021-10-14,10,INN02699
30,2021-05-18,3,INN02700
31,2020-06-19,6,INN02701
32,2020-11-26,7,INN02702
33,2019-12-31,10,INN02703
34,2019-04-01,8,INN02704
35,2019-01-08,8,INN02705
36,2021-10-14,4,INN02706
37,2021-11-29,6,INN02707
38,2020-01-09,1,INN02708
39,2020-01-30,3,INN02709
40,2019-10-31,5,INN02710
41,2020-12-04,3,INN02711
42,2019-08-18,10,INN02712
43,2021-04-24,11,INN02713
44,2019-01-08,4,INN02714
45,2019-07-20,9,INN02715
46,2020-12-23,5,INN02716
47,2020-09-30,2,INN02717
48,2021-08-29,3,INN02718
49,2020-08-02,3,INN02719
50,2021-02-12,4,INN02720
51,2021-11-15,7,INN02721
52,2019-10-20,8,INN02722
53,2020-07-27,11,INN02723
54,2019-10-28,6,INN02724
55,2019-08-20,8,INN02725
56,2020-11-21,10,INN02726
57,2019-06-22,6,INN02727
58,2020-08-21,1,INN02728
59,2019-09-19,10,INN02729
60,2019-05-08,5,INN02730
61,2020-07-30,8,INN02731
62,2019-09-28,1,INN02732
63,2021-12-27,12,INN02733
64,2019-08-12,10,INN02734
65,2019-07-31,8,INN02735
